uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwwcxrpq2l,bafyreie4etm6md4prg3jtrvw3ckviyqdghpej4yxe6edsaz2j5hciz4a4e,"Essa vitória é resultado de uma campanha feita com diálogo, ouvindo de perto as demandas de cada cidadão carioca. Sou imensamente grata por cada voto de confiança. Vamos, mais uma vez, construir um Rio nosso! Tudo nosso, nada deles ❤️",2024-10-06T23:25:33.967Z,3,9,84,2024-10-06T23:25:33.967Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwvttqx72a,bafyreibd6p6ubtyka6sja3wbhylt5o43pnrrx72tl3shnipfcrysy2lilm,"Muito obrigada pelos 49.986 votos! Fui reeleita vereadora, sendo a terceira mais votada da cidade. Seguiremos juntos, lutando por um Rio de Janeiro mais justo na Câmara dos Vereadores. #TainaDePaula13777",2024-10-06T23:25:18.090Z,33,107,906,2024-10-06T23:25:18.090Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5utz7pila2u,bafyreiaasbo23uusg57lytcasqnafpmfzk6ql7repskngkhkofwu2om5hq,"Ser a mulher mais votada do Rio de Janeiro é uma honra. Poder estar à frente da luta das mulheres na Câmara dos Vereadores é uma responsabilidade enorme e eu agradeço pela confiança e por cada voto das mulheres cariocas. Vamos juntas! É tudo nosso e nada deles! 💪🏾❤️
#TainaDePaula13777",2024-10-06T22:33:29.871Z,19,97,713,2024-10-06T22:33:29.871Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5utqes77u2q,bafyreiesuokeqwatvgrc73tqvjsw5ee3hxmwu2lo5fw2reoaucnvje3bza,"É emocionante ser a vereadora de esquerda mais votada no Rio de Janeiro! Essa conquista é fruto de uma campanha que preza pelo olho no olho, pela escuta atenta e pelas necessidades da população carioca. Sou muito grata por cada voto. Vamos fazer, mais uma vez, um Rio nosso. ❤️ #TainadePaula13777",2024-10-06T22:28:33.245Z,17,53,465,2024-10-06T22:28:33.245Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5utlrswve2y,bafyreidm6kb5w3gjnm5lt4uzttzegg5nv2pgpsu4e6bgk7eoch5jmwkvpq,"Eduardo Paes está reeleito! Sua vitória representa mais um passo na construção de um Rio que é nosso, feito para todos e todas. Essa conquista é resultado de muito trabalho, diálogo e compromisso com a cidade. Vamos juntos, @eduardopaes!",2024-10-06T22:25:58.927Z,1,11,119,2024-10-06T22:25:58.927Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5smavgze72w,bafyreiec2gni3jnlnmbmzlw5wxuhidfghwrdzxq55m3xpm2zdbsrl4hnwi,"🚩 Agradeço muito todo apoio e todo afeto que recebemos durante toda essa campanha. Amanhã é um dia decisivo pra todos nós. 
Chegou a hora de inundar as redes sociais com a nossa colinha virtual!
Conto com você.
 Até a vitória, é 1️⃣3️⃣7️⃣7️⃣7️⃣✅ e 5️⃣5️⃣✅
#TainaDePaula13777",2024-10-06T01:09:17.981Z,3,15,95,2024-10-06T01:09:17.981Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5qvpbqitr2l,bafyreignu7bm3ibtvo4s2wshgppuvgog7vs4bpxsmn4fnq5ilfcewzny5q,A minha juventude 13777 é linda demais 🤩❤️,2024-10-05T08:53:04.832Z,0,6,42,2024-10-05T08:53:04.832Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5qvo4afjq2x,bafyreigzlh4k7r652nwpol3qat7sop45yn23yhghhibvmjfnb4j2vipjvm,"Meus lindoooss! 🥹❤️
Como eu amo minha juventude potente 🤩 Amanhã é tudo nosso e nada deles 🔥💪",2024-10-05T08:52:25.538Z,1,0,3,2024-10-05T08:52:25.538Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5qvmgngyt2j,bafyreigbxqlsxnxwj22vx2rjlbmnk3kwcblp6yoayz3jmsx2vlh6wjposu,Tudo nosso e nada deles! Como é bom saber que ainda temos uns aos outros. Nós por nós sempre ✊🏾❤️,2024-10-05T08:51:29.368Z,0,0,1,2024-10-05T08:51:29.368Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5qvixlo7x2f,bafyreie3gvux3o2d3prl4tylkdlwlnxrkf2y2ctknadpxcu2dczmvwtiva,Que assim seja ❤️,2024-10-05T08:49:32.869Z,0,0,1,2024-10-05T08:49:32.869Z,tainadepaularj.bsky.social,Tainá de Paula 13777,did:plc:hecgeq4k3jsggwbhfo23b723
