reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:e2zob73hqz26ymfbhlgghpfx/app.bsky.feed.post/3l5xhltnqcc2i,bafyreihj2weoknlzcxhjoxjks4bdjztt5k7pomnb6ckfwbrgkmbqthhwdq,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwwcxrpq2l,"Essa vitória é resultado de uma campanha feita com diálogo, ouvindo de perto as demandas de cada cidadão carioca. Sou imensamente grata por cada voto de confiança. Vamos, mais uma vez, construir um Rio nosso! Tudo nosso, nada deles ❤️",tainadepaularj.bsky.social,"Tainá o dia que você vier na Fiocruz quero te apresentar Thamyres. Uma técnica de enfermagem que saiu do bolsonarismo e foi um dos votos que te elegeu.

🥰🥰🥰🥰",2024-10-07T23:29:15.267Z,0,0,0,2024-10-07T23:29:15.267Z,leninha13.bsky.social,Leninha ,did:plc:e2zob73hqz26ymfbhlgghpfx
at://did:plc:6xizhwrreoqgsc4f56balvwe/app.bsky.feed.post/3l5v3cme7p226,bafyreibcrakgvieid7nae3wud4j6gyccim6do2llq76zljjmbi2pph7aoq,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwwcxrpq2l,"Essa vitória é resultado de uma campanha feita com diálogo, ouvindo de perto as demandas de cada cidadão carioca. Sou imensamente grata por cada voto de confiança. Vamos, mais uma vez, construir um Rio nosso! Tudo nosso, nada deles ❤️",tainadepaularj.bsky.social,"Desejo um bom mandato ,Tainá !! Espero que você faça valer a confiança que eu depositei na sua candidatura !!!",2024-10-07T00:44:00.398Z,0,0,0,2024-10-07T00:44:00.398Z,kella12.bsky.social,Kel,did:plc:6xizhwrreoqgsc4f56balvwe
at://did:plc:2qvx4i33mg2cx7aihzwc7vg6/app.bsky.feed.post/3l5v2w6qe5r2v,bafyreihyvtcxzgbiflhr7gewugysrinsbxa65zaxzisu4nt22hlry4wgii,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwwcxrpq2l,"Essa vitória é resultado de uma campanha feita com diálogo, ouvindo de perto as demandas de cada cidadão carioca. Sou imensamente grata por cada voto de confiança. Vamos, mais uma vez, construir um Rio nosso! Tudo nosso, nada deles ❤️",tainadepaularj.bsky.social,"Parabéns, vereadora! Que vitória lindaaaaaa 💚",2024-10-07T00:37:04.491Z,0,0,1,2024-10-07T00:37:04.491Z,beatrizdiniz.bsky.social,Beatriz Diniz,did:plc:2qvx4i33mg2cx7aihzwc7vg6
at://did:plc:y5hl2ntgu75yocq4octotwyf/app.bsky.feed.post/3l5vyrqwdwt2t,bafyreigtbqjozzk42ulijyvzwx6p2qhheesz67s52d6aujj6czazloy65e,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwvttqx72a,"Muito obrigada pelos 49.986 votos! Fui reeleita vereadora, sendo a terceira mais votada da cidade. Seguiremos juntos, lutando por um Rio de Janeiro mais justo na Câmara dos Vereadores. #TainaDePaula13777",tainadepaularj.bsky.social,"Parabéns! Votei em você em 2020 e novamente em 2024. Num futuro breve quero te ver no topo da política, em Brasília! 👏🏽✨",2024-10-07T09:31:27.788Z,0,0,1,2024-10-07T09:31:27.788Z,mariamaria9.bsky.social,Maria Mariá,did:plc:y5hl2ntgu75yocq4octotwyf
at://did:plc:xvtshux33t7yuzmzl7swvwb4/app.bsky.feed.post/3l5vdskohok2k,bafyreid5u4qwpnrqttlrs34v2jwgibvcb77pbtz3uh3sxfpcfk74muqola,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwvttqx72a,"Muito obrigada pelos 49.986 votos! Fui reeleita vereadora, sendo a terceira mais votada da cidade. Seguiremos juntos, lutando por um Rio de Janeiro mais justo na Câmara dos Vereadores. #TainaDePaula13777",tainadepaularj.bsky.social,"Parabéns, tmj sempre ❤️ vale sempre a pena votar em você",2024-10-07T03:16:06.469Z,0,0,0,2024-10-07T03:16:06.469Z,akdeirante.bsky.social,Ak-Deirante,did:plc:xvtshux33t7yuzmzl7swvwb4
at://did:plc:xhk6tuc4wxl2aags5t2lx5mp/app.bsky.feed.post/3l5ux6mobon2u,bafyreibo6atmlinyydb7uv67ryl2kiz77jdlzkl2ojxi2324tk7hixssl4,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwvttqx72a,"Muito obrigada pelos 49.986 votos! Fui reeleita vereadora, sendo a terceira mais votada da cidade. Seguiremos juntos, lutando por um Rio de Janeiro mais justo na Câmara dos Vereadores. #TainaDePaula13777",tainadepaularj.bsky.social,♥️♥️♥️,2024-10-06T23:30:12.572Z,0,0,1,2024-10-06T23:30:12.572Z,briguitta.bsky.social,,did:plc:xhk6tuc4wxl2aags5t2lx5mp
at://did:plc:vgnzwfffukayv66ibargbisb/app.bsky.feed.post/3l5vrzjalc526,bafyreiexwnutik7zjj5sjikxjws5qihcm77v6sgp55t6jjpvgydicaucne,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwvttqx72a,"Muito obrigada pelos 49.986 votos! Fui reeleita vereadora, sendo a terceira mais votada da cidade. Seguiremos juntos, lutando por um Rio de Janeiro mais justo na Câmara dos Vereadores. #TainaDePaula13777",tainadepaularj.bsky.social,mds.. meus parabens mae,2024-10-07T07:30:32.238Z,0,0,0,2024-10-07T07:30:32.238Z,jocailu.bsky.social,pombo nicotina,did:plc:vgnzwfffukayv66ibargbisb
at://did:plc:uaecu2qvoz7gp4ez2wspviwm/app.bsky.feed.post/3l5v7hdkwu327,bafyreiapdifwdnpo7h54jpj7uphvrweit3rh2mlm6d6fkba6rb4q7jkom4,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwvttqx72a,"Muito obrigada pelos 49.986 votos! Fui reeleita vereadora, sendo a terceira mais votada da cidade. Seguiremos juntos, lutando por um Rio de Janeiro mais justo na Câmara dos Vereadores. #TainaDePaula13777",tainadepaularj.bsky.social,Parabéns!,2024-10-07T01:58:14.948Z,0,0,0,2024-10-07T01:58:14.948Z,anapja.bsky.social,Ana Paula J.,did:plc:uaecu2qvoz7gp4ez2wspviwm
at://did:plc:tunfblda53epfhtwrpwcs2fw/app.bsky.feed.post/3l5vcn5jmue2s,bafyreiezugxkmlo7kt3tro3osh4s2fxxcju5wj2jsq5cxurqklhwffowhu,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwvttqx72a,"Muito obrigada pelos 49.986 votos! Fui reeleita vereadora, sendo a terceira mais votada da cidade. Seguiremos juntos, lutando por um Rio de Janeiro mais justo na Câmara dos Vereadores. #TainaDePaula13777",tainadepaularj.bsky.social,"Parabéns, Tainá!-✊🏽🙏🏼✊🏽",2024-10-07T02:55:10.627Z,0,0,0,2024-10-07T02:55:10.627Z,danstark03.bsky.social,Dan Stark 🪂🪂🪂,did:plc:tunfblda53epfhtwrpwcs2fw
at://did:plc:rektvgvqoxva7dptp46rdv4k/app.bsky.feed.post/3l5uxcvfxau2o,bafyreihm6angqbsdo4w3he6iqvjocyjiexrpfwwg2pjpsuwojtrp3tvbia,at://did:plc:hecgeq4k3jsggwbhfo23b723/app.bsky.feed.post/3l5uwvttqx72a,"Muito obrigada pelos 49.986 votos! Fui reeleita vereadora, sendo a terceira mais votada da cidade. Seguiremos juntos, lutando por um Rio de Janeiro mais justo na Câmara dos Vereadores. #TainaDePaula13777",tainadepaularj.bsky.social,E com uma foto babadeiraaaa,2024-10-06T23:32:35.642Z,0,0,1,2024-10-06T23:32:35.642Z,lmms.bsky.social,maria mulambo da kamala harris ,did:plc:rektvgvqoxva7dptp46rdv4k
