uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5snci2qz72m,bafyreifdwnt5xbcwhwhio43oyedieqglt6omrilzsxhoa5jlalnqju35ou,Neste domingo vote pela ciência! Tatiana Roque 40123,2024-10-06T01:28:05.078Z,3,2,29,2024-10-06T01:28:05.078Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5snazdloc23,bafyreic6w3rfplmodxjmmhbutzbn3mjgh5jo6apzb5tuhlkldqxu3dkoou,Obrigada !,2024-10-06T01:27:16.082Z,0,0,1,2024-10-06T01:27:16.082Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ezmprnbq2m,bafyreidrqil5xijend42oltpq7ch5h3rbsm2p2zull7wzyd4fr3j52rdny,Sou candidata a vereadora do Rio pelo PSB. Aqui um card com o que já fiz e o que farei se eleita. Peço seu voto em 40123,2024-09-30T15:31:17.007Z,0,9,24,2024-09-30T15:31:17.007Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5jkd72cjh2i,bafyreiesocyhprcayndsqozkglkqg4sbsgmraczmc5mlgrszqs2idqkql4,Verdade rsrs,2024-10-02T10:40:50.340Z,0,0,0,2024-10-02T10:40:50.340Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ilbzap7o2p,bafyreia5xh6jdeawyzwlr44lyuynyqa726nmirmou4iktlkxawfwqjgxlq,Pior isso corri pra cá 🙌,2024-10-02T01:25:24.730Z,1,0,1,2024-10-02T01:25:24.730Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ikpudwhx24,bafyreiduebsuasbwtzwqzikmjvrcu3ybmge2kgj4355tzved2vdvh3yeia,Por isso a gente sente falta daquela rede lá: no Instagram não tem ninguém falando do avião do Lula 😳,2024-10-02T01:15:15.609Z,2,0,13,2024-10-02T01:15:15.609Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5iknltzq42z,bafyreie3xfbnjsjw5ovr6lqjin6l7lqbcfloeqirma3t47blzhzlcay3km,Que alívio,2024-10-02T01:13:59.586Z,0,0,0,2024-10-02T01:13:59.586Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5iklgme5n2l,bafyreiei67p6biyptzca4jgdqqdcjeqqjhggqmwdj36ccex3ca4kq6czbu,Ufa,2024-10-02T01:12:46.991Z,0,0,3,2024-10-02T01:12:46.991Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ijv3huba2c,bafyreigbnjnwvakwgudsvlrj4msi37sgjefzvzadfd4x3arac55pyvnada,Obrigada,2024-10-02T01:00:17.109Z,0,0,0,2024-10-02T01:00:17.109Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ijmwgsjh2d,bafyreifpl7lj7smeoi47l6dsel2ql7rywsebsa6uqz4tno2lc6aehzuszy,Eita,2024-10-02T00:55:43.389Z,1,0,0,2024-10-02T00:55:43.389Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
