reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:q3ounltd3q7f5fxotokzplnh/app.bsky.feed.post/3l5snu7u35k2u,bafyreie7d4plslgxpgwitpwh34r4kwxbu3adnx6jveu4h4htt42evol2fq,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5snci2qz72m,Neste domingo vote pela ciência! Tatiana Roque 40123,tatiroque.bsky.social,"Boa sorte, amiga!",2024-10-06T01:37:59.524Z,0,0,0,2024-10-06T01:37:59.524Z,aletheiavieira.bsky.social,Aletheia Vieira,did:plc:q3ounltd3q7f5fxotokzplnh
at://did:plc:74pijyi2m7jc4wztf32rp6ld/app.bsky.feed.post/3l5tj6iobfq2b,bafyreiclpu7c5csfdhmybu746hqjmv7bvzqkt7tybl62kwd55cpvdnmyhm,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5snci2qz72m,Neste domingo vote pela ciência! Tatiana Roque 40123,tatiroque.bsky.social,Tem meu voto,2024-10-06T09:46:56.292Z,0,0,0,2024-10-06T09:46:56.292Z,jdcayres.bsky.social,Jéssica,did:plc:74pijyi2m7jc4wztf32rp6ld
at://did:plc:2qvx4i33mg2cx7aihzwc7vg6/app.bsky.feed.post/3l5v2xrjdvp2q,bafyreicb2h2qvhmxx3u64nejd2mezl3npyxbqptdw6evvbw2wmjzjhfppy,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5snci2qz72m,Neste domingo vote pela ciência! Tatiana Roque 40123,tatiroque.bsky.social,"Parabéns, Tatiana, pela vitória, cê é vereadoraaaaaa 💚",2024-10-07T00:37:57.753Z,0,0,2,2024-10-07T00:37:57.753Z,beatrizdiniz.bsky.social,Beatriz Diniz,did:plc:2qvx4i33mg2cx7aihzwc7vg6
at://did:plc:4uckkpy4kgg7tlsjobivzbbd/app.bsky.feed.post/3l5ilsgylcp2a,bafyreicghd7h4pnzqzc3a2wakhidzpzjajaulbxwmwrjtczahfuwfurtoa,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ilbzap7o2p,Pior isso corri pra cá 🙌,tatiroque.bsky.social,Mas aí o erro é não estar aqui o tempo todo hehe,2024-10-02T01:34:35.100Z,1,0,2,2024-10-02T01:34:35.100Z,felipecintra.bsky.social,Felipe Cintra Braga,did:plc:4uckkpy4kgg7tlsjobivzbbd
at://did:plc:xuraykzt74ch7eaxxnejenx2/app.bsky.feed.post/3l5iktzdiw624,bafyreibravfwjmzv6peaea2elidnjby2blukh64kz3sghyxscrsw7yvzsy,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ikpudwhx24,Por isso a gente sente falta daquela rede lá: no Instagram não tem ninguém falando do avião do Lula 😳,tatiroque.bsky.social,O Instagram é tipo um shopping chique,2024-10-02T01:17:34.964Z,0,0,2,2024-10-02T01:17:34.964Z,yaso.is,yaso,did:plc:xuraykzt74ch7eaxxnejenx2
at://did:plc:l6wk5l3xk6yqhvwta7v5ly42/app.bsky.feed.post/3l5ilaiqmyy2i,bafyreignsuvkagxid6px6vhkrd7qjjt22kdlg4rvflhmp6hruzhvbhzqye,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ikpudwhx24,Por isso a gente sente falta daquela rede lá: no Instagram não tem ninguém falando do avião do Lula 😳,tatiroque.bsky.social,"Mas fica por aqui, tá todo mundo falando :)",2024-10-02T01:24:33.543Z,1,0,1,2024-10-02T01:24:33.543Z,efeitomatilda.bsky.social,,did:plc:l6wk5l3xk6yqhvwta7v5ly42
at://did:plc:azyktvipfieicjqiktzjrxpj/app.bsky.feed.post/3l5ijtlbc6h2a,bafyreihy6nkjyhljgpmcuaf4jotvviy5fh36pfdsb3iz5gxm7wjwowvzha,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ijmwgsjh2d,Eita,tatiroque.bsky.social,Aqui da pra acompanhar pt.flightaware.com/live/flight/...,2024-10-02T00:59:26.503Z,1,0,1,2024-10-02T00:59:26.503Z,ricardoarrays.bsky.social,Kings,did:plc:azyktvipfieicjqiktzjrxpj
at://did:plc:q22vexqa7od7oitbjukniyug/app.bsky.feed.post/3l5zb42kitq2a,bafyreihao6hpimkxskegoor7qkfsqawnc2speg3ziljn6zmip7u2utnt3q,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ijlsrxzt2g,Eu não tenho comitê na Av Rio Branco !,tatiroque.bsky.social,"Tem razão, não era um comitê. Era um grupo de apoiadores. Mas td certo... parabéns pela vitória. Torci por vc. Bj",2024-10-08T16:38:23.613Z,0,0,0,2024-10-08T16:38:23.114Z,bsdojones.bsky.social,Jon,did:plc:q22vexqa7od7oitbjukniyug
at://did:plc:azyktvipfieicjqiktzjrxpj/app.bsky.feed.post/3l5ijd4bpff2o,bafyreieqqvizrjmuda7bfm3fycnlnovpj74th64xiydxecvp2aw5p7moxq,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ij5kppe72z,O avião já pousou gente? Preocupada,tatiroque.bsky.social,Parece que ainda não 😐,2024-10-02T00:50:13.708Z,1,0,1,2024-10-02T00:50:13.708Z,ricardoarrays.bsky.social,Kings,did:plc:azyktvipfieicjqiktzjrxpj
at://did:plc:gobr6olhhev55wz3rtlr254i/app.bsky.feed.post/3l5ijwismev2s,bafyreifw2lwq5p3ofupurkfeymf4vhvzahjxo3kqcvbe4uxlbbs5pic7qq,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5ij2tg7tb2s,🙌,tatiroque.bsky.social,"nossa, que honra! obrigado!!!",2024-10-02T01:01:04.621Z,0,0,1,2024-10-02T01:01:04.621Z,thiagogimenes.com.br,thiago gimenes,did:plc:gobr6olhhev55wz3rtlr254i
at://did:plc:q22vexqa7od7oitbjukniyug/app.bsky.feed.post/3l5ij6xjwyy2f,bafyreib3ukn2fykdcof5t2g5x4eg4cqrtiisjmur4dfl7fy6qrf33bc4iu,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l5iizvzmej23,Obrigada !,tatiroque.bsky.social,"Boa noite, Tati, vc é maravilhosa. Mas não posso deixar de alertar que a poluição sonora que a eleição causa na av rio Branco  atrapalhando trabalhadores. Ok seu comitê não é o único, mas nao posso deixar de dizer do incômodo que me causa.",2024-10-02T00:47:55.198Z,1,0,0,2024-10-02T00:47:55.017Z,bsdojones.bsky.social,Jon,did:plc:q22vexqa7od7oitbjukniyug
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l4vxkvmbo62w,bafyreib7h2v55qfo5jwxwixznyhmz45muc3khtdngoscocylpy7crgeeoy,at://did:plc:73znobjpd5znpdqzvecuk7hj/app.bsky.feed.post/3l4rfusglc427,"Fiquei feliz em encontrar no Aterro a @tatiroque.bsky.social fazendo campanha para vereadora! Anteriormente já confiei meu voto nela para deputada e o farei de novo para a Câmara Municipal.

Para vereadora no Rio:
Professora Tatiana Roque 4️⃣0️⃣1️⃣2️⃣3️⃣
Veja mais nos cards 👇",drgineco.bsky.social,Muito obrigada pelo apoio!,2024-09-24T15:44:32.712Z,1,0,1,2024-09-24T15:44:32.712Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:73znobjpd5znpdqzvecuk7hj/app.bsky.feed.post/3l4rfxfdnsq2w,bafyreibnzyjlf47luftdqvmdiiepybzxxetyocmva5nkjkoadoxsble2kq,at://did:plc:73znobjpd5znpdqzvecuk7hj/app.bsky.feed.post/3l4rfusglc427,"Fiquei feliz em encontrar no Aterro a @tatiroque.bsky.social fazendo campanha para vereadora! Anteriormente já confiei meu voto nela para deputada e o farei de novo para a Câmara Municipal.

Para vereadora no Rio:
Professora Tatiana Roque 4️⃣0️⃣1️⃣2️⃣3️⃣
Veja mais nos cards 👇",drgineco.bsky.social,E como ponto importante de escolha: a candidata está presente aqui no nosso céu azul! 🦋 🙂,2024-09-22T20:18:45.816Z,0,0,3,2024-09-22T20:18:45.812Z,drgineco.bsky.social,Dr. Gineco • Alberto Freitas,did:plc:73znobjpd5znpdqzvecuk7hj
at://did:plc:73znobjpd5znpdqzvecuk7hj/app.bsky.feed.post/3l4w2jry3nh2j,bafyreidgfnxzsv4vw4wkpd6a4kvsn6l25jcntyh6ez66ske6syux7xwk4u,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l4vxkvmbo62w,Muito obrigada pelo apoio!,tatiroque.bsky.social,Nada! Rumo à vitória no pleito.,2024-09-24T16:37:36.396Z,0,0,0,2024-09-24T16:37:36.396Z,drgineco.bsky.social,Dr. Gineco • Alberto Freitas,did:plc:73znobjpd5znpdqzvecuk7hj
at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l3jraxd22f2k,bafyreihyht6b453i3fxw4y7u7k53bkhwtzpbj56bzu6usgjymedeyipvju,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l3jr6fvavo2j,"Hoje foi um dia triste. Toda minha solidariedade à ministra Anielle Franco. A violência sexual contra as mulheres é uma das expressões mais nítidas e, infelizmente, mais comuns do machismo. As vítimas precisam ser acolhidas, sempre. Suas denúncias não podem ser descredibilizadas.",tatiroque.bsky.social,"
A complexidade do caso demanda rigor e celeridade na apuração, garantindo o amplo direito de defesa. 

Fica a certeza de que a luta coletiva contra o machismo é extremamente necessária em nosso país.",2024-09-07T01:54:28.010Z,0,1,13,2024-09-07T01:54:28.010Z,tatiroque.bsky.social,Tatiana Roque,did:plc:zhb7sulsdplha6iibmay6735
at://did:plc:b5zs4obtveaah54lafbdpb7c/app.bsky.feed.post/3l3ap25knwu22,bafyreifyqfexzex3gpy75ium5qbzufobfafkwaxarekrsyb7pydef5ns3i,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l3aokyj5s42m,Vendedor de ideias perigosas,tatiroque.bsky.social,revistacult.uol.com.br/home/faltam-...,2024-09-03T11:20:54.064Z,0,0,1,2024-09-03T11:20:54.064Z,diego.carvalho.nom.br,Diego Carvalho,did:plc:b5zs4obtveaah54lafbdpb7c
at://did:plc:b5zs4obtveaah54lafbdpb7c/app.bsky.feed.post/3l3aokfdzdc2h,bafyreifqnm6p3a5d7bpujaogsgi6xq54miy7ehk7pipi4bd47tj47jzgnu,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l3anlwbonp22,"Acho equivocado dizer que Marçal tem outras razões que não a política. A motivação dele é plenamente ideológica. E aí  que mora o maior perigo. É a ideia de que só o esforço individual leva à prosperidade, de que o social é secundário e culpado. Ele encarnaria uma moral supostamente superior.",tatiroque.bsky.social,"Sim, ideológica, mas moldada para ser um bom negócio. Tecnicamente, um vendedor sem escrúpulos, moral etc.",2024-09-03T11:12:05.174Z,1,0,0,2024-09-03T11:12:05.174Z,diego.carvalho.nom.br,Diego Carvalho,did:plc:b5zs4obtveaah54lafbdpb7c
at://did:plc:2542ibk6qixa5wpcg7hrwuj3/app.bsky.feed.post/3l37pmxaclt26,bafyreib3wsda2zjpinkigma22xqcsbbsvdpcelo6bo3fiur7sr7e3nmx6a,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3l37p3kgbg52i,Não contem pra ninguém: o M não gosta de ser chamado de coach (acabou de passar recibo no Roda Viva),tatiroque.bsky.social,Só chamo de coach,2024-09-03T01:58:45.709Z,0,0,1,2024-09-03T01:58:45.709Z,herikasette.bsky.social,Herika Sette,did:plc:2542ibk6qixa5wpcg7hrwuj3
at://did:plc:turut7czselvikdf3wf2irpp/app.bsky.feed.post/3kpvknezr442i,bafyreidutbhh6jctasp4272437rdffdt2xwdnk5vrswxdciy5vqmucvady,at://did:plc:zhb7sulsdplha6iibmay6735/app.bsky.feed.post/3jucjtuyq4g2h,"Cheguei por aqui, amizades",tatiroque.bsky.social,Bem vinda!,2024-04-12T01:25:46.945Z,0,0,0,2024-04-12T01:25:46.614Z,macedos1.bsky.social,Orlando J,did:plc:turut7czselvikdf3wf2irpp
