uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l5atlsj7fg2i,bafyreig63klp3zljb7mfm53h6oqm6liylhzcvpza3zy6gx4k5u45ell6pe,"🚨🚨 DAQUI 10 MINUTOS COMEÇA O DEBATE COM A DANDARA NA TV PARANAÍBA!

Fiquem de olho, hoje vamos ver que a nossa futura prefeita não está de brincadeira. Bora dar apoio para a nossa candidata e mostrar toda a potência do 1️⃣3️⃣ em Uberlândia!",2024-09-28T23:34:43.642Z,3,6,35,2024-09-28T23:32:46.110Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l5ajqugrjz2p,bafyreihhzvflaem7ik5ikghrf5n76w2z5tgwyi5yvp7crd7ud32qldwijm,"Festival Timbre paralisado, Rondom alagada, estruturas comprometidas pelo granizo. Depois de mais de 150 dias, apenas hoje vimos o que um temporal pode causar.

A gestão atual tenta mostrar que está tudo certo em Uberlândia, mas precisou só de uma chuva pra mostrar ao povo que essa não é a verdade.",2024-09-28T20:38:36.228Z,3,9,52,2024-09-28T20:36:38.817Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l53k4ldahn2v,bafyreidnkckz2tjksxjcmqfrji3qq6su65pvsb5rpjiu572g5szwg4sgxm,"⚠️Hoje o coreto da Praça Clarimundo Carneiro, patrimônio cultural da nossa cidade, foi vandalizado por motivos políticos.

É muito triste que um símbolo tão importante para nossa gente tenha sido manchado dessa forma. Eleição é coisa séria, que os responsáveis sejam punidos!",2024-09-26T21:01:52.790Z,0,1,19,2024-09-26T20:59:52.313Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l4t5dld6yd2c,bafyreigre5whf5crh6wxfkn3feyqt7bwnrizqzdvvmhtrriybdezypd46e,"BOM DIA, POVO DE LUTA! FALTAM 13 DIAS PRA VOTAR 1️⃣3️⃣⭐

A primavera veio pra avisar que chegou a nossa hora, meu povo! Hora de mostrar para Uberlândia inteira que somos a melhor possibilidade de um futuro incrível para todos e todas. Para garantir Dandara no segundo turno é 1️⃣3️⃣⭐.",2024-09-23T12:51:55.479Z,0,6,20,2024-09-23T12:49:51.318Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l4k7nsaess2p,bafyreibpn2vfcgrfmxbcgjalqftyx7ozcrkgrtfybgsbo7u2q7og7ccxfm,"Pabllo Vittar representa as minorias que lutaram muito para chegar onde estão, sendo um exemplo cultural de diversidade na música brasileira.

É com muito orgulho que eu tenho a Pabllo me apoiando nessa campanha eleitoral para o cargo de prefeita de Uberlândia. Bora que é 1️⃣3️⃣!",2024-09-19T23:38:31.411Z,1,12,75,2024-09-19T23:37:23.919Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l4j2zjm66z26,bafyreigj7mtrkkwgc4syodjdcc7wml3tivhv63aajpqum5jmkto3ddhdb4,"Essa é a nossa chance, essa é a nossa história! ✊

Dandara é o grande nome das eleições 2024 em Uberlândia e pode levar o povo à prefeitura.

Chega de atraso, chega de autoritarismo, Uberlândia não tem dono, Uberlândia é nossa!

Dandara é o presente e o futuro da nossa cidade.
Agora é 13!!",2024-09-19T12:42:57.213Z,1,5,30,2024-09-19T12:41:49.209Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l4bv2naxfp2p,bafyreigpy542imds325cmvkx5sfevjunvpmq2at5k56pkrm6dcv2ummztq,"Candidato que vai pra debate só pra provocar e arrumar briga é porque não tem projeto NENHUM pra cidade.

Quando o debate de ideias perde pra baixaria, a democracia perde. E isso vale pra qualquer cidade do Brasil.",2024-09-16T16:06:24.859Z,0,6,47,2024-09-16T16:06:24.859Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l42zuo3c6i2v,bafyreiegbddistmlff3uyv3enlkqwxhtubb4r5tkvefogkipliadvu2rku,"Hoje é Dia do Inspetor Escolar! 📚

Como professora, sei a importância do grandioso trabalho que desempenham dentro das escolas, ajudando sempre no equilíbrio e bem viver de todos os trabalhadores e trabalhadoras da educação.

Parabéns para todos os inspetores 🎉",2024-09-13T22:45:10.141Z,0,4,13,2024-09-13T22:43:55.212Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l3zz6l73f62n,bafyreibotgrd5b2dijku2inaqizgxar45lyf5c5wlfsami2hbhe6hiuavm,Hoje é sexta-feira 1️⃣3️⃣! Hoje é dia de sorte! Sorte é ter vocês nesta caminhada do #D13🍀,2024-09-13T13:00:10.118Z,0,4,22,2024-09-13T12:58:55.410Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l3y2bqlqpe2f,bafyreihd4t6b5gx3rsi4cykmyjsrcrz56wk6qt4dzy5fnqxos6r3rgekvi,"Já está muito na cara:

O G20 está prestes a acontecer no Brasil e reunirá 20 das maiores economias p/ debater nosso futuro.
O que acontece dias antes? Incêndios criminosos, Brasil embaixo de fumaça, sem falar da crise dos problemas respiratórios e sobrecarga do SUS?

Qual o objetivo? Quem lucra?",2024-09-12T18:14:31.408Z,5,22,63,2024-09-12T18:13:14.919Z,todandara.bsky.social,Dandara Tonantzin,did:plc:iizcyljkovbhpybutspekwcj
