reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:onmnqo6ojxjhfgjdphvtzmty/app.bsky.feed.post/3l5fp6vip5h27,bafyreibn6vjia23jevuriutflhnyetnai5at7kffr2ojfwlrwfccqcc4eu,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l5atlsj7fg2i,"🚨🚨 DAQUI 10 MINUTOS COMEÇA O DEBATE COM A DANDARA NA TV PARANAÍBA!

Fiquem de olho, hoje vamos ver que a nossa futura prefeita não está de brincadeira. Bora dar apoio para a nossa candidata e mostrar toda a potência do 1️⃣3️⃣ em Uberlândia!",todandara.bsky.social,Depois desse tem o da TV Integração na quinta-feira,2024-09-30T21:57:18.697Z,0,0,0,2024-09-30T21:57:16.017Z,reinaldo567.bsky.social,Reinaldo B Silva 🚩🚩🚩🇧🇷 ☭⭐🦋🦋,did:plc:onmnqo6ojxjhfgjdphvtzmty
at://did:plc:nejnjjp5aqxkuf6he7dyfsxo/app.bsky.feed.post/3l5atvo2x642z,bafyreih6g5fx4nc2vbr4nsr4wsi2gtayqftylr5pchzm5tmf3bxyryn7d4,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l5atlsj7fg2i,"🚨🚨 DAQUI 10 MINUTOS COMEÇA O DEBATE COM A DANDARA NA TV PARANAÍBA!

Fiquem de olho, hoje vamos ver que a nossa futura prefeita não está de brincadeira. Bora dar apoio para a nossa candidata e mostrar toda a potência do 1️⃣3️⃣ em Uberlândia!",todandara.bsky.social,Oq vc acha de seguir a gente pra nós dar moral e ainda mais credibilidade,2024-09-28T23:38:15.612Z,1,0,1,2024-09-28T23:38:15.612Z,stamusica.bsky.social,StaMusica,did:plc:nejnjjp5aqxkuf6he7dyfsxo
at://did:plc:mqi5hejmyastrkn5jb44l2ww/app.bsky.feed.post/3l5fsovysgp2t,bafyreiegnbccbeu62adztlfhzjf36q6ixamjfiqxaemhvonasrb2qjgrja,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l5atlsj7fg2i,"🚨🚨 DAQUI 10 MINUTOS COMEÇA O DEBATE COM A DANDARA NA TV PARANAÍBA!

Fiquem de olho, hoje vamos ver que a nossa futura prefeita não está de brincadeira. Bora dar apoio para a nossa candidata e mostrar toda a potência do 1️⃣3️⃣ em Uberlândia!",todandara.bsky.social,"Candidata, quem sou eu na fila do pão? Mas fica a dica, siga os seus seguidores também. Não cometa o erro das ""celebridades"" desses app achando que nós da esquerda não pensamos como o gado da extrema direita. Eu sou de BH e estou fazendo propaganda aqui para você. 😀",2024-09-30T22:59:54.793Z,0,0,0,2024-09-30T22:59:54.710Z,alexproflp.bsky.social,🚩🚩🚩‬ Alexander Fabiano 🚩🚩🚩‬ ,did:plc:mqi5hejmyastrkn5jb44l2ww
at://did:plc:xz5ahxwqrrybn4aq2oqj77qc/app.bsky.feed.post/3l5foxt2xkw2u,bafyreifsqazan2pgdndvr3wbcb5nfzk3ttf33xmp5wp3uripu7qrgfzaf4,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l5ajqugrjz2p,"Festival Timbre paralisado, Rondom alagada, estruturas comprometidas pelo granizo. Depois de mais de 150 dias, apenas hoje vimos o que um temporal pode causar.

A gestão atual tenta mostrar que está tudo certo em Uberlândia, mas precisou só de uma chuva pra mostrar ao povo que essa não é a verdade.",todandara.bsky.social,"BH ainda na seca !
DANDARA PREFEITA UBERLÂNDIA",2024-09-30T21:53:17.441Z,0,0,0,2024-09-30T21:53:17.441Z,maribh2.bsky.social,,did:plc:xz5ahxwqrrybn4aq2oqj77qc
at://did:plc:cagohubuube6lfktzphcygmf/app.bsky.feed.post/3l5hnuxxss22r,bafyreibwgdvwphgkhw7jnwpaw7wvzk767is7jq3liwr56jowqovn7rapwa,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l5ajqugrjz2p,"Festival Timbre paralisado, Rondom alagada, estruturas comprometidas pelo granizo. Depois de mais de 150 dias, apenas hoje vimos o que um temporal pode causar.

A gestão atual tenta mostrar que está tudo certo em Uberlândia, mas precisou só de uma chuva pra mostrar ao povo que essa não é a verdade.",todandara.bsky.social,"Esse gráfico mostra que Partidos de Direita em tempos eleitorais fazendo o que fazem de melhor!

IR NAS PERIFERIAS COMPRAR VOTO!
DEPOIS ESQUECEM DO POVO!

A UNICA FORMA DE CONTER ESSE AVANÇO BOLSONARISTA EM UBERLANDIA É FOCANDO EM MAIS REGIÕES DA PERIFERIA.

O POVO QUER DAR OUVIDO PARA DANDARA!",2024-10-01T16:39:05.944Z,0,0,0,2024-10-01T16:39:05.944Z,revistaleste.bsky.social,Revista Leste - Portal de Notícias,did:plc:cagohubuube6lfktzphcygmf
at://did:plc:3jyj4xit2nxpsjp25dcfuz4j/app.bsky.feed.post/3l5akzdn7cp2i,bafyreih5kqyioeiwjuoeeu4fhez7hk7atjbcqzzrs4xqgoxtlno5uowgla,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l5ajqugrjz2p,"Festival Timbre paralisado, Rondom alagada, estruturas comprometidas pelo granizo. Depois de mais de 150 dias, apenas hoje vimos o que um temporal pode causar.

A gestão atual tenta mostrar que está tudo certo em Uberlândia, mas precisou só de uma chuva pra mostrar ao povo que essa não é a verdade.",todandara.bsky.social,Isso porque nem choveu muito. Dandara 13 para mudar Uberlândia!,2024-09-28T20:59:15.658Z,0,0,0,2024-09-28T20:59:15.658Z,camilarisso.bsky.social,Camila Risso,did:plc:3jyj4xit2nxpsjp25dcfuz4j
at://did:plc:jrgt7z5qcpc5mspuq3rnveli/app.bsky.feed.post/3l4k7pp5tit2o,bafyreighqq5u3bcwfp6ouku4v64qf4t2k5xa6hlyk2qnjpdzztr676kypu,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l4k7nsaess2p,"Pabllo Vittar representa as minorias que lutaram muito para chegar onde estão, sendo um exemplo cultural de diversidade na música brasileira.

É com muito orgulho que eu tenho a Pabllo me apoiando nessa campanha eleitoral para o cargo de prefeita de Uberlândia. Bora que é 1️⃣3️⃣!",todandara.bsky.social,"Uai, ele ainda vota aqui?",2024-09-19T23:38:26.890Z,1,0,0,2024-09-19T23:38:26.890Z,thelastkingslayer.bsky.social,Regicida 👑,did:plc:jrgt7z5qcpc5mspuq3rnveli
at://did:plc:egyhhkqddh3c3ffmhuwzqrga/app.bsky.feed.post/3l4j73jenyi24,bafyreicakyvejpflksw7frzxm4nm7q7lzyrf5ynyagkrwkigf5sz2yjg6i,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l4j2zjm66z26,"Essa é a nossa chance, essa é a nossa história! ✊

Dandara é o grande nome das eleições 2024 em Uberlândia e pode levar o povo à prefeitura.

Chega de atraso, chega de autoritarismo, Uberlândia não tem dono, Uberlândia é nossa!

Dandara é o presente e o futuro da nossa cidade.
Agora é 13!!",todandara.bsky.social,"Queria que a Dandara enchesse  as redes dela com pontos fracos da gestão atual , e apresentasse soluções. Em Uberlândia a Saúde é muito ruim , na educação faltam vagas . Não tem chegado esse tipo de conteúdo pra mim , quem dirá pros eleitores que ela precisa ganhar .",2024-09-19T13:55:01.242Z,0,0,0,2024-09-19T13:54:30.212Z,rafa13cruz.bsky.social,Rafael Cruz ,did:plc:egyhhkqddh3c3ffmhuwzqrga
at://did:plc:q5byw2mcovub2ff4gshdood2/app.bsky.feed.post/3l3zg3vrt2m2f,bafyreidrvqt7libkbci37pscxizojkuk5vw2ilrmkkg7kj6buhcplo3nje,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l3y2bqlqpe2f,"Já está muito na cara:

O G20 está prestes a acontecer no Brasil e reunirá 20 das maiores economias p/ debater nosso futuro.
O que acontece dias antes? Incêndios criminosos, Brasil embaixo de fumaça, sem falar da crise dos problemas respiratórios e sobrecarga do SUS?

Qual o objetivo? Quem lucra?",todandara.bsky.social,@pedrolpb.bsky.social,2024-09-13T07:17:21.955Z,1,0,0,2024-09-13T07:17:21.955Z,thalitismos.bsky.social,thalita rosa,did:plc:q5byw2mcovub2ff4gshdood2
at://did:plc:nejnjjp5aqxkuf6he7dyfsxo/app.bsky.feed.post/3l3y2zmxpx327,bafyreif6rcz4xa6urv2ororurzcsgxw4ldejbqoourqqfnsb55wfe26i2q,at://did:plc:iizcyljkovbhpybutspekwcj/app.bsky.feed.post/3l3y2bqlqpe2f,"Já está muito na cara:

O G20 está prestes a acontecer no Brasil e reunirá 20 das maiores economias p/ debater nosso futuro.
O que acontece dias antes? Incêndios criminosos, Brasil embaixo de fumaça, sem falar da crise dos problemas respiratórios e sobrecarga do SUS?

Qual o objetivo? Quem lucra?",todandara.bsky.social,"Vc bem podia seguir a gente pra nós dar moral e ainda mais credibilidade, vem",2024-09-12T18:26:35.142Z,0,0,0,2024-09-12T18:26:35.142Z,stamusica.bsky.social,StaMusica,did:plc:nejnjjp5aqxkuf6he7dyfsxo
