uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5wrdglkpm2q,bafyreiekfboydjoasz2ss4kjnnifgmcqjgtp5kru7zpf4wzv7wsknx7xky,Obrigada por compartilhar dessa felicidade também! 💕,2024-10-07T16:50:50.306Z,0,1,2,2024-10-07T16:50:50.306Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5wrcmf2ae2l,bafyreiarzjwunxtajk42y5oa7r726b2wghzmc7f2gq3uffz2kv7fc3z7ki,"Muito obrigada pela confiança, mana! Conseguimos chegar lá. 🌻✌🏽",2024-10-07T16:50:22.845Z,0,0,1,2024-10-07T16:50:22.845Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5wrayyczi2a,bafyreid2jpspzq7pj2q6eogqw6k64bnjlw7pbqg7kmd3iraueywtyrvvxm,"Muito obrigada, mana!! 💕",2024-10-07T16:49:28.891Z,0,0,1,2024-10-07T16:49:28.891Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5wra42idd2v,bafyreietoceagejbskidug75slnbtxo3axnuhm3jhrmj72sf26krny4hjq,conseguimos! 💕✌🏾,2024-10-07T16:48:58.653Z,0,0,1,2024-10-07T16:48:58.653Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5wr4xdcai2z,bafyreif2ptuphbk5csptluvbzi4tqargu7lkvpy4slttfkzurnhswpqk2y,"Muito obrigada, amigo! vencemos juntos essa batalha. 💕🌻",2024-10-07T16:47:12.978Z,0,0,2,2024-10-07T16:47:12.978Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5ssa354yg2q,bafyreigx6m2dlhhjwicuf6wuz6wkvydy64p6phtmqjycamp5t7rszqx3ti,"Campanha chegando ao fim, mas queria deixar aqui para quem vai votar amanhã em Belém o site com nossas propostas. 
VIVI5️⃣0️⃣5️⃣0️⃣0️⃣💖
Pelos direitos de quem batalha!

vivipsol.com.br/propostas/",2024-10-06T02:56:13.081Z,1,2,8,2024-10-06T02:56:13.081Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5nvbfqp522a,bafyreicps4wfox2zqeciiohqvoqob2pkbpr3ybpbykjfi5oyywnfrwyuum,"resultado do debate de hoje: 
#debatenaglobo",2024-10-04T04:07:20.149Z,0,1,14,2024-10-04T04:07:20.149Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5nszcq2og25,bafyreih2be3r2jnq5am4icr2gp6brrvcwi7mhiumh3koea2cjamzkwik2q,"Igor Normando podia aproveitar o tema mobilidade urbana para explicar o porquê é contra ar-condicionado nos ônibus e porque pediu pra sua mãe dificultar a liberação dos ônibus elétricos pro povo.
#debatenaglobo",2024-10-04T03:27:01.085Z,0,1,9,2024-10-04T03:27:01.085Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5nsyr5guf2l,bafyreidogbslooz54mxp47rfu3nnhxjpzv2y4tkdtuyirz4n5v42rru7vy,"Igor Normando não tem coragem de enfrentar o Edmilson num debate sobre mobilidade urbana. Por que tanto medo?
#debatenaglobo",2024-10-04T03:26:42.643Z,0,0,7,2024-10-04T03:26:42.643Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5nsg7td5y2y,bafyreidnj4ho42cq4fcn64qehw5jssjxhghom4jxfz6ppzpgce77ixidtm,"A Rede Globo prova, mais uma vez, que é uma emissora misógina e racista. Tenho meu candidato a prefeito, mas não podemos naturalizar um debate só com homens brancos. Não podemos ser invisibilizadas!
#debatenaglobo",2024-10-04T03:16:20.517Z,0,0,8,2024-10-04T03:16:20.517Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
