reply_uri,reply_cid,original_post_uri,original_post_text,original_post_author_handle,reply_text,reply_created_at,reply_reply_count,reply_repost_count,reply_like_count,reply_indexed_at,reply_author_handle,reply_author_display_name,reply_author_did
at://did:plc:7ypsd22vx75npdcpvwvjg6bj/app.bsky.feed.post/3l5tzjivuhd24,bafyreia5kwq3hnmly2rw64teloyb2kondmch5j73eqj6dqrumw74twbisq,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5ssa354yg2q,"Campanha chegando ao fim, mas queria deixar aqui para quem vai votar amanhã em Belém o site com nossas propostas. 
VIVI5️⃣0️⃣5️⃣0️⃣0️⃣💖
Pelos direitos de quem batalha!

vivipsol.com.br/propostas/",vivireispsol.bsky.social,Voto em Vivi Reis concluído com sucesso! 💜,2024-10-06T14:39:25.801Z,0,0,1,2024-10-06T14:39:25.801Z,danirubi.bsky.social,Dani Rubi,did:plc:7ypsd22vx75npdcpvwvjg6bj
at://did:plc:wkxtaixip2n5tlidcqxnogzn/app.bsky.feed.post/3l5noz5loy52a,bafyreiezclilykvwrxx4vwxhlohsnffv2pygtp563lb7smfd24hcjbjb3i,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5nojexs4s2q,"Belém tem pouco mais de 1,5 milhão de habitantes e Igor Normando vem repetindo que as Usinas da Paz teriam atendido 3 milhões de pessoas. A conta não  fecha. Confundir as pessoas parece que é mal de família.",vivireispsol.bsky.social,amiga voce é tao desinformada que nao sabe nem O MINIMO. As usinas da paz estao espalhadas pela regiao metropolitana e tambem em outras regioes do Estado.,2024-10-04T02:15:20.878Z,1,0,0,2024-10-04T02:15:20.878Z,giulicaaspfc.bsky.social,giu ,did:plc:wkxtaixip2n5tlidcqxnogzn
at://did:plc:qq4vryjrypyjxtfkuad6cwnk/app.bsky.feed.post/3l5pohyydpz2w,bafyreigstwcqku3t73pzaq6xiwcm4tw6zrzrqrrqo6gl6gf5s3iwbwcgr4,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5nojexs4s2q,"Belém tem pouco mais de 1,5 milhão de habitantes e Igor Normando vem repetindo que as Usinas da Paz teriam atendido 3 milhões de pessoas. A conta não  fecha. Confundir as pessoas parece que é mal de família.",vivireispsol.bsky.social,"Mas as Usinas da Paz não existem só em Belém. Ele falou em nível estadual e não municipal. 

Calma também kkkkkkkkkk",2024-10-04T21:11:05.057Z,0,0,0,2024-10-04T21:11:05.057Z,rainhadogelo.bsky.social,Coroada 👑,did:plc:qq4vryjrypyjxtfkuad6cwnk
at://did:plc:lcifssjxuc3652p42gkyaqmb/app.bsky.feed.post/3l5npbocvjk2v,bafyreicwbgog3gnlojco7h37asgmkf653psuvaanepx2oabkwkcgtmgmta,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5nojexs4s2q,"Belém tem pouco mais de 1,5 milhão de habitantes e Igor Normando vem repetindo que as Usinas da Paz teriam atendido 3 milhões de pessoas. A conta não  fecha. Confundir as pessoas parece que é mal de família.",vivireispsol.bsky.social,para de ser fazer kkkk óbvio que não tem usinas da paz só em belém,2024-10-04T02:20:06.877Z,2,0,0,2024-10-04T02:20:06.877Z,gagapecado.bsky.social,patrick,did:plc:lcifssjxuc3652p42gkyaqmb
at://did:plc:7vwdbucdlkxtisbbnrhjym4r/app.bsky.feed.post/3l5notot7fp2j,bafyreiaj7226kt6wt4c2mttl4t75kghzygrkizdalg3fnslvf6kgrixi3e,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5nojexs4s2q,"Belém tem pouco mais de 1,5 milhão de habitantes e Igor Normando vem repetindo que as Usinas da Paz teriam atendido 3 milhões de pessoas. A conta não  fecha. Confundir as pessoas parece que é mal de família.",vivireispsol.bsky.social,"amiga ele tá falando a nível estadual, não se faça tb",2024-10-04T02:12:17.234Z,1,0,2,2024-10-04T02:12:17.234Z,joshperdigao.bsky.social,Josh Perdigão ,did:plc:7vwdbucdlkxtisbbnrhjym4r
at://did:plc:rdgwac2p4met4rkws4x5v7ps/app.bsky.feed.post/3l5oeffmnpy2v,bafyreieybmtaxwvgiqro5uxgvw7c63glte4nkastqz6th5ftuuwfrltbg4,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5nmea2dli2k,"Segurança pública não se resolve com mais repressão, mas com inteligência e programas sociais. Por isso, Ed50 criou o Bora Belém e investiu em melhorias da Guarda Municipal, com recursos de emendas minha quando era deputada federal.
#debatenaglobo",vivireispsol.bsky.social,Me inscrevi no bora Belém e até hoje nunca recebi uma resposta sequer.,2024-10-04T08:37:59.671Z,0,0,1,2024-10-04T08:37:59.671Z,thaisdantas.bsky.social,Língua de Jambú.,did:plc:rdgwac2p4met4rkws4x5v7ps
at://did:plc:a72srwnyptysrec6fczkrw45/app.bsky.feed.post/3l5fdnkc35g23,bafyreiazachjyhizn76xleagrrzpch5docvuru265eu3rkiayssyprkaje,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l5fdc6sn262v,estamos juntos! 🌻,vivireispsol.bsky.social,💪🏽,2024-09-30T18:30:42.002Z,0,0,0,2024-09-30T18:30:42.002Z,utidenis.bsky.social,@UTIDenis,did:plc:a72srwnyptysrec6fczkrw45
at://did:plc:xjgghvgepzcuzeyepe2chcad/app.bsky.feed.post/3l4m6nua2yc26,bafyreibbl6jndl7tc2gy7vhw7wlnbblf5cdnfhl6dbyztz7eo4zvm7lmca,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l4m5y2wvis2b,"Gratidão pela indicação e pelo apoio, querido! Vamos juntos nessa batalha! 🤝🏽🌻",vivireispsol.bsky.social,Tamo junto!!!!,2024-09-20T18:24:50.707Z,0,0,0,2024-09-20T18:24:50.707Z,victorogerio.bsky.social,Victor Rogério,did:plc:xjgghvgepzcuzeyepe2chcad
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l4kbuz4ac22u,bafyreibejrycw72opctjie53br7huajc5qebpknozdiy5jey42z6qhyo4m,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l4kbuyz6n22a,"Pouco adianta o governador decretar situação de emergência, se continua oferecendo facilidades para o avanço do agronegócio na região, que costuma seguir o mesmo método histórico de ocupação da Amazônia: o desmatamento de regiões de floresta, para depois entrarem com pasto e monocultura.",vivireispsol.bsky.social,"Neste final de semana, diversas cidades do país estão chamando atos públicos contra o fim do mundo, denunciando as ameaças que biomas como Amazônia estão sofrendo e alertando para o ponto de não retorno que podemos chegar, caso não mudemos esse modelo econômico que só destrói a nossa biodiversidade.",2024-09-20T00:17:12.565069+00:00,0,0,5,2024-09-20T00:17:12.565Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l4kbuyz6n22a,bafyreihdnm7h42zw2gsncqqvqe5dcwtee6vf6ehwdg4iv2q7ghoqdxj6fe,at://did:plc:y2gvexbtq7paw2jr44xv63ym/app.bsky.feed.post/3l4kbuyw7xa2y,"A tendência é que situações como essa sigam, enquanto o 
agronegócio continuar como o modelo de desenvolvimento para a Amazônia e guiar a política econômica do governo Estado.",vivireispsol.bsky.social,"Pouco adianta o governador decretar situação de emergência, se continua oferecendo facilidades para o avanço do agronegócio na região, que costuma seguir o mesmo método histórico de ocupação da Amazônia: o desmatamento de regiões de floresta, para depois entrarem com pasto e monocultura.",2024-09-20T00:17:12.458865+00:00,1,0,6,2024-09-20T00:17:12.458Z,vivireispsol.bsky.social,Vivi Reis 50500,did:plc:y2gvexbtq7paw2jr44xv63ym
